protein_id	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
WP_002916493.1	EH	Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family	serA	"GO:0003674,GO:0003824,GO:0004617,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006563,GO:0006564,GO:0006807,GO:0008150,GO:0008152,GO:0008219,GO:0008652,GO:0009058,GO:0009069,GO:0009070,GO:0009987,GO:0012501,GO:0016053,GO:0016491,GO:0016597,GO:0016614,GO:0016616,GO:0019752,GO:0031406,GO:0036094,GO:0042802,GO:0043167,GO:0043168,GO:0043169,GO:0043177,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0047545,GO:0055114,GO:0070905,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607"	"1.1.1.399,1.1.1.95"	ko:K00058	"ko00260,ko00680,ko01100,ko01120,ko01130,ko01200,ko01230,map00260,map00680,map01100,map01120,map01130,map01200,map01230"	M00020	R01513	RC00031	"ko00000,ko00001,ko00002,ko01000,ko04147"	-	-	iYL1228.KPN_03348	"2-Hacid_dh,2-Hacid_dh_C,ACT"
WP_002916495.1	G	Catalyzes the reversible conversion of ribose-5- phosphate to ribulose 5-phosphate	rpiA	"GO:0003674,GO:0003824,GO:0004751,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0005996,GO:0006014,GO:0006081,GO:0006098,GO:0006139,GO:0006725,GO:0006732,GO:0006733,GO:0006739,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009052,GO:0009117,GO:0009987,GO:0016853,GO:0016860,GO:0016861,GO:0019321,GO:0019362,GO:0019637,GO:0019682,GO:0019693,GO:0034641,GO:0042802,GO:0044237,GO:0044238,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0046496,GO:0051156,GO:0051186,GO:0055086,GO:0071704,GO:0072524,GO:1901135,GO:1901360,GO:1901564"	5.3.1.6	ko:K01807	"ko00030,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00030,map00710,map01100,map01110,map01120,map01130,map01200,map01230"	"M00004,M00007,M00165,M00167,M00580"	R01056	RC00434	"ko00000,ko00001,ko00002,ko01000"	-	-	-	Rib_5-P_isom_A
WP_002916497.1	K	Controls the transcription of genes involved in arginine and lysine metabolism	argP	"GO:0003674,GO:0003676,GO:0003677,GO:0003681,GO:0003700,GO:0005488,GO:0006275,GO:0006355,GO:0008150,GO:0008156,GO:0009889,GO:0009890,GO:0009891,GO:0009892,GO:0009893,GO:0010468,GO:0010556,GO:0010557,GO:0010558,GO:0010604,GO:0010605,GO:0010628,GO:0010629,GO:0019219,GO:0019222,GO:0030174,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0031328,GO:0032297,GO:0043565,GO:0045892,GO:0045893,GO:0045934,GO:0045935,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0050789,GO:0050794,GO:0051052,GO:0051053,GO:0051171,GO:0051172,GO:0051173,GO:0051252,GO:0051253,GO:0051254,GO:0060255,GO:0065007,GO:0080090,GO:0090329,GO:0097159,GO:0140110,GO:1901363,GO:1902679,GO:1902680,GO:1903506,GO:1903507,GO:1903508,GO:2000104,GO:2000112,GO:2000113,GO:2001141"	-	ko:K05596	-	-	-	-	"ko00000,ko03000,ko03036"	-	-	-	"HTH_1,LysR_substrate"
WP_002916499.1	S	Protein of unknown function (DUF541)	yggE	"GO:0000302,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006950,GO:0006974,GO:0006979,GO:0008150,GO:0009266,GO:0009408,GO:0009628,GO:0009897,GO:0009986,GO:0009987,GO:0016020,GO:0016021,GO:0031224,GO:0031226,GO:0031233,GO:0033554,GO:0034599,GO:0034605,GO:0034614,GO:0042221,GO:0044425,GO:0044459,GO:0044464,GO:0050896,GO:0051716,GO:0070887,GO:0071575,GO:0071944,GO:0098552,GO:1901700,GO:1901701"	-	ko:K09807	-	-	-	-	ko00000	-	-	-	SIMPL
WP_002916504.1	M	Mechanosensitive Ion channel	mscS	"GO:0003674,GO:0005215,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006884,GO:0008150,GO:0008361,GO:0008381,GO:0009987,GO:0009992,GO:0015267,GO:0016020,GO:0016021,GO:0016043,GO:0019725,GO:0022607,GO:0022803,GO:0022836,GO:0022857,GO:0030104,GO:0031224,GO:0031226,GO:0032535,GO:0034220,GO:0042592,GO:0042802,GO:0043933,GO:0044085,GO:0044425,GO:0044459,GO:0044464,GO:0048878,GO:0051179,GO:0051234,GO:0051259,GO:0051260,GO:0055082,GO:0055085,GO:0065003,GO:0065007,GO:0065008,GO:0071840,GO:0071944,GO:0090066"	-	ko:K03442	-	-	-	-	"ko00000,ko02000"	1.A.23.2	-	-	"MS_channel,TM_helix"
WP_002916508.1	F	Belongs to the phosphoglycerate kinase family	pgk	"GO:0003674,GO:0003824,GO:0004618,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0006082,GO:0006090,GO:0006091,GO:0006096,GO:0006139,GO:0006163,GO:0006164,GO:0006165,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006754,GO:0006757,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009108,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009132,GO:0009135,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009166,GO:0009167,GO:0009168,GO:0009179,GO:0009185,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009987,GO:0016052,GO:0016053,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016774,GO:0017144,GO:0018130,GO:0019359,GO:0019362,GO:0019363,GO:0019438,GO:0019439,GO:0019637,GO:0019693,GO:0019752,GO:0032787,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0042866,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046031,GO:0046034,GO:0046390,GO:0046394,GO:0046434,GO:0046483,GO:0046496,GO:0046700,GO:0046939,GO:0051186,GO:0051188,GO:0055086,GO:0071704,GO:0072330,GO:0072521,GO:0072522,GO:0072524,GO:0072525,GO:0090407,GO:1901135,GO:1901137,GO:1901292,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901566,GO:1901575,GO:1901576"	2.7.2.3	ko:K00927	"ko00010,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00010,map00710,map01100,map01110,map01120,map01130,map01200,map01230"	"M00001,M00002,M00003,M00165,M00166,M00308,M00552"	R01512	"RC00002,RC00043"	"ko00000,ko00001,ko00002,ko01000,ko04147"	-	-	iSbBS512_1146.SbBS512_E3351	PGK
WP_002916512.1	G	Belongs to the glyceraldehyde-3-phosphate dehydrogenase family	epd	"GO:0000166,GO:0003674,GO:0003824,GO:0004365,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0005996,GO:0006006,GO:0006081,GO:0006725,GO:0006732,GO:0006766,GO:0006767,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008614,GO:0008615,GO:0009058,GO:0009108,GO:0009110,GO:0009987,GO:0016491,GO:0016620,GO:0016903,GO:0017144,GO:0018130,GO:0019318,GO:0019438,GO:0019637,GO:0034641,GO:0036094,GO:0042364,GO:0042816,GO:0042819,GO:0042822,GO:0042823,GO:0043891,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046184,GO:0046483,GO:0048001,GO:0048037,GO:0050662,GO:0051186,GO:0051188,GO:0051287,GO:0055114,GO:0071704,GO:0072524,GO:0072525,GO:0090407,GO:0097159,GO:1901265,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1901615,GO:1901617"	"1.2.1.12,1.2.1.72"	"ko:K00134,ko:K03472"	"ko00010,ko00710,ko00750,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko04066,ko05010,map00010,map00710,map00750,map01100,map01110,map01120,map01130,map01200,map01230,map04066,map05010"	"M00001,M00002,M00003,M00124,M00165,M00166,M00308,M00552"	"R01061,R01825"	"RC00149,RC00242"	"ko00000,ko00001,ko00002,ko01000,ko04131,ko04147"	-	-	iYL1228.KPN_03356	"Gp_dh_C,Gp_dh_N"
WP_002916572.1	E	Belongs to the arginase family	speB	"GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006576,GO:0006595,GO:0006596,GO:0006807,GO:0008150,GO:0008152,GO:0008783,GO:0009058,GO:0009308,GO:0009309,GO:0009445,GO:0009446,GO:0009987,GO:0016787,GO:0016810,GO:0016813,GO:0030145,GO:0034641,GO:0042401,GO:0043167,GO:0043169,GO:0044106,GO:0044237,GO:0044249,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0046872,GO:0046914,GO:0071704,GO:0097164,GO:1901564,GO:1901566,GO:1901576"	"3.5.3.11,3.5.3.7,3.5.3.8"	"ko:K01479,ko:K01480,ko:K12255"	"ko00330,ko00340,ko01100,map00330,map00340,map01100"	"M00045,M00133"	"R01157,R01990,R02285"	"RC00024,RC00221,RC00329,RC00681"	"ko00000,ko00001,ko00002,ko01000"	-	-	"iB21_1397.B21_02730,iECB_1328.ECB_02767,iECD_1391.ECD_02767,iSbBS512_1146.SbBS512_E3370"	Arginase
WP_002916587.1	U	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family	galP	"GO:0003674,GO:0005215,GO:0005351,GO:0005354,GO:0005402,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0008150,GO:0008324,GO:0008643,GO:0008645,GO:0009679,GO:0015075,GO:0015077,GO:0015078,GO:0015144,GO:0015145,GO:0015149,GO:0015291,GO:0015293,GO:0015294,GO:0015295,GO:0015318,GO:0015517,GO:0015672,GO:0015749,GO:0015757,GO:0016020,GO:0022804,GO:0022857,GO:0022890,GO:0034219,GO:0034220,GO:0044464,GO:0051119,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071944,GO:0098655,GO:0098660,GO:0098662,GO:1902600"	-	"ko:K02100,ko:K05548,ko:K08137"	-	-	-	-	"ko00000,ko02000"	"2.A.1.1.1,2.A.1.1.2,2.A.1.15"	-	iG2583_1286.G2583_3602	Sugar_tr
WP_002916589.1	L	endonuclease I	endA	"GO:0003674,GO:0003824,GO:0004518,GO:0004519,GO:0004520,GO:0004536,GO:0005575,GO:0005576,GO:0005623,GO:0006139,GO:0006259,GO:0006308,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009987,GO:0016787,GO:0016788,GO:0016888,GO:0016893,GO:0019439,GO:0034641,GO:0034655,GO:0042597,GO:0043170,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044265,GO:0044270,GO:0044464,GO:0046483,GO:0046700,GO:0071704,GO:0090304,GO:0090305,GO:0140097,GO:1901360,GO:1901361,GO:1901575"	3.1.21.1	ko:K01150	-	-	-	-	"ko00000,ko01000"	-	-	-	Endonuclease_1
WP_002916597.1	J	Specifically methylates the N3 position of the uracil ring of uridine 1498 (m3U1498) in 16S rRNA. Acts on the fully assembled 30S ribosomal subunit	rsmE	"GO:0000154,GO:0001510,GO:0003674,GO:0003824,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008170,GO:0008173,GO:0008649,GO:0008757,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0016436,GO:0016740,GO:0016741,GO:0022613,GO:0031167,GO:0032259,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0043170,GO:0043412,GO:0043414,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0070042,GO:0070475,GO:0071704,GO:0071840,GO:0090304,GO:0140098,GO:0140102,GO:1901360"	2.1.1.193	ko:K09761	-	-	-	-	"ko00000,ko01000,ko03009"	-	-	-	Methyltrans_RNA
WP_002916600.1	H	Belongs to the prokaryotic GSH synthase family	gshB	"GO:0000287,GO:0003674,GO:0003824,GO:0004363,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006518,GO:0006575,GO:0006749,GO:0006750,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009987,GO:0016874,GO:0016879,GO:0016881,GO:0019184,GO:0034641,GO:0042398,GO:0043043,GO:0043167,GO:0043169,GO:0043603,GO:0043604,GO:0044237,GO:0044249,GO:0044271,GO:0044272,GO:0044424,GO:0044444,GO:0044464,GO:0046872,GO:0051186,GO:0051188,GO:0071704,GO:1901564,GO:1901566,GO:1901576"	6.3.2.3	ko:K01920	"ko00270,ko00480,ko01100,map00270,map00480,map01100"	M00118	"R00497,R10994"	"RC00096,RC00141"	"ko00000,ko00001,ko00002,ko01000"	-	-	"iECED1_1282.ECED1_3410,iECP_1309.ECP_2941"	"GSH-S_ATP,GSH-S_N"
WP_002916603.1	K	Belongs to the UPF0301 (AlgH) family	yqgE	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0044424,GO:0044444,GO:0044464"	-	ko:K07735	-	-	-	-	"ko00000,ko03000"	-	-	-	DUF179
WP_002916605.1	L	Could be a nuclease involved in processing of the 5'-end of pre-16S rRNA	yqgF	"GO:0000966,GO:0000967,GO:0003674,GO:0003824,GO:0004518,GO:0004527,GO:0004529,GO:0004536,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008296,GO:0008408,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0016787,GO:0016788,GO:0016796,GO:0016895,GO:0022613,GO:0034470,GO:0034471,GO:0034641,GO:0034660,GO:0042254,GO:0043170,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0071704,GO:0071840,GO:0090304,GO:0090305,GO:0140097,GO:1901360"	-	ko:K07447	-	-	-	-	"ko00000,ko01000"	-	-	-	RuvX
WP_002916607.1	K	Response regulator containing a CheY-like receiver domain and an HTH DNA-binding domain	csgD	-	-	"ko:K04333,ko:K20918"	"ko02026,ko05111,map02026,map05111"	-	-	-	"ko00000,ko00001,ko03000"	-	-	-	GerE
WP_002916614.1	S	Belongs to the UPF0235 family	yggU	-	-	ko:K09131	-	-	-	-	ko00000	-	-	-	DUF167
WP_002916615.1	F	"Pyrophosphatase that catalyzes the hydrolysis of nucleoside triphosphates to their monophosphate derivatives, with a high preference for the non-canonical purine nucleotides XTP (xanthosine triphosphate), dITP (deoxyinosine triphosphate) and ITP. Seems to function as a house-cleaning enzyme that removes non-canonical purine nucleotides from the nucleotide pool, thus preventing their incorporation into DNA RNA and avoiding chromosomal lesions"	rdgB	"GO:0000287,GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009987,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0018130,GO:0019438,GO:0019439,GO:0019637,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0035870,GO:0036220,GO:0036222,GO:0042802,GO:0042803,GO:0043167,GO:0043169,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046434,GO:0046483,GO:0046700,GO:0046872,GO:0046983,GO:0047429,GO:0055086,GO:0071704,GO:1901292,GO:1901360,GO:1901361,GO:1901362,GO:1901575,GO:1901576"	3.6.1.66	ko:K02428	"ko00230,map00230"	-	"R00426,R00720,R01855,R02100,R02720,R03531"	RC00002	"ko00000,ko00001,ko01000"	-	-	"iEC55989_1330.EC55989_3247,iECO111_1330.ECO111_3702,iECSE_1348.ECSE_3222,iECW_1372.ECW_m3212,iEKO11_1354.EKO11_0774,iEcE24377_1341.EcE24377A_3298,iWFL_1372.ECW_m3212"	Ham1p_like
WP_002916619.1	S	Protein of unknown function (DUF2884)	yggN	-	-	-	-	-	-	-	-	-	-	-	DUF2884
WP_002916620.1	S	protein conserved in bacteria	yggL	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0044424,GO:0044444,GO:0044464"	-	ko:K09923	-	-	-	-	ko00000	-	-	-	DUF469
WP_002916627.1	J	catalyzes the formation of N(7)-methylguanine at position 46 (m7G46) in tRNA	trmB	"GO:0001510,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0008168,GO:0008173,GO:0008175,GO:0008176,GO:0008757,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016423,GO:0016740,GO:0016741,GO:0030488,GO:0032259,GO:0032991,GO:0034470,GO:0034641,GO:0034660,GO:0034708,GO:0036265,GO:0043170,GO:0043412,GO:0043414,GO:0043527,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:0106004,GO:0140098,GO:0140101,GO:1901360,GO:1902494,GO:1990234"	2.1.1.33	ko:K03439	-	-	-	-	"ko00000,ko01000,ko03016"	-	-	-	Methyltransf_4
WP_002916628.1	L	a g-specific adenine glycosylase	mutY	"GO:0003674,GO:0003824,GO:0006139,GO:0006259,GO:0006281,GO:0006284,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009987,GO:0016787,GO:0033554,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0090304,GO:1901360"	-	ko:K03575	"ko03410,map03410"	-	-	-	"ko00000,ko00001,ko01000,ko03400"	-	-	-	"EndIII_4Fe-2S,HhH-GPD,NUDIX_4"
WP_002916629.1	M	Murein-degrading enzyme. May play a role in recycling of muropeptides during cell elongation and or cell division	mltC	"GO:0000270,GO:0003674,GO:0003824,GO:0005575,GO:0005623,GO:0006022,GO:0006026,GO:0006027,GO:0006807,GO:0006950,GO:0006979,GO:0008150,GO:0008152,GO:0008932,GO:0008933,GO:0009056,GO:0009057,GO:0009253,GO:0009987,GO:0016020,GO:0016740,GO:0016757,GO:0030203,GO:0030288,GO:0030313,GO:0031224,GO:0031225,GO:0031975,GO:0033554,GO:0034599,GO:0042221,GO:0042597,GO:0043170,GO:0044425,GO:0044464,GO:0046677,GO:0050896,GO:0051716,GO:0061783,GO:0070887,GO:0071236,GO:0071704,GO:1901135,GO:1901136,GO:1901564,GO:1901565,GO:1901575"	-	ko:K08306	-	-	-	-	"ko00000,ko01000,ko01011"	-	GH23	"iG2583_1286.G2583_3622,iUMNK88_1353.UMNK88_3661"	"DUF3393,SLT"
WP_002916694.1	S	Membrane	yqgA	"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"	-	ko:K07150	-	-	-	-	ko00000	-	-	-	DUF554
WP_002916735.1	IQ	COG1028 Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)	-	-	-	-	-	-	-	-	-	-	-	-	adh_short_C2
WP_002916738.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_002916740.1	E	Glutathionylspermidine synthase	gsp	"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0008884,GO:0008885,GO:0016787,GO:0016810,GO:0016811,GO:0016874,GO:0016879,GO:0016880,GO:0044424,GO:0044444,GO:0044464"	"3.5.1.78,6.3.1.8"	ko:K01460	"ko00480,ko01100,map00480,map01100"	-	"R01917,R01918"	"RC00090,RC00096"	"ko00000,ko00001,ko01000"	-	-	iECIAI39_1322.ECIAI39_3484	"CHAP,GSP_synth"
WP_002916743.1	S	response to butan-1-ol	yghW	"GO:0001101,GO:0008150,GO:0010033,GO:0042221,GO:0050896,GO:0097305,GO:1901422,GO:1901700"	-	-	-	-	-	-	-	-	-	-	DUF2623
WP_002916782.1	G	COG2211 Na melibiose symporter and related transporters	yicJ	-	-	ko:K03292	-	-	-	-	ko00000	2.A.2	-	-	MFS_2
WP_002916785.1	U	"Biopolymer transport protein, ExbD"	exbD	"GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0007154,GO:0007165,GO:0008150,GO:0009987,GO:0016020,GO:0016021,GO:0023052,GO:0031224,GO:0031226,GO:0031647,GO:0031992,GO:0032991,GO:0042802,GO:0044425,GO:0044459,GO:0044464,GO:0050789,GO:0050794,GO:0050821,GO:0050896,GO:0051716,GO:0060089,GO:0065007,GO:0065008,GO:0071944,GO:0098796,GO:0098797"	-	ko:K03559	-	-	-	-	"ko00000,ko02000"	1.A.30.2.1	-	-	ExbD
WP_002916791.1	S	Pfam SNARE associated Golgi protein	yghB	"GO:0000003,GO:0000910,GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0007049,GO:0008150,GO:0009987,GO:0016020,GO:0016021,GO:0019954,GO:0022402,GO:0022414,GO:0022857,GO:0031224,GO:0031226,GO:0032505,GO:0043093,GO:0044425,GO:0044459,GO:0044464,GO:0051179,GO:0051234,GO:0051301,GO:0055085,GO:0071944"	-	-	-	-	-	-	-	-	-	-	SNARE_assoc
WP_002916796.1	S	reductase	dkgA	"GO:0003674,GO:0003824,GO:0004033,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006081,GO:0008106,GO:0008150,GO:0008152,GO:0009056,GO:0009438,GO:0009987,GO:0016491,GO:0016614,GO:0016616,GO:0042180,GO:0042182,GO:0044237,GO:0044248,GO:0044281,GO:0044282,GO:0044424,GO:0044444,GO:0044464,GO:0046185,GO:0051596,GO:0055114,GO:0071704,GO:1901575"	1.1.1.346	"ko:K06221,ko:K06222"	-	-	R08878	RC00089	"ko00000,ko01000"	-	-	"iECH74115_1262.ECH74115_4323,iECSP_1301.ECSP_3988"	Aldo_ket_red
WP_002916826.1	I	Belongs to the 1-acyl-sn-glycerol-3-phosphate acyltransferase family	plsC	"GO:0003674,GO:0003824,GO:0003841,GO:0005575,GO:0005623,GO:0005886,GO:0006629,GO:0006644,GO:0006650,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008374,GO:0008610,GO:0008654,GO:0009058,GO:0009987,GO:0016020,GO:0016411,GO:0016740,GO:0016746,GO:0016747,GO:0019637,GO:0042171,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044464,GO:0045017,GO:0046474,GO:0046486,GO:0071617,GO:0071704,GO:0071944,GO:0090407,GO:1901576"	2.3.1.51	ko:K00655	"ko00561,ko00564,ko01100,ko01110,map00561,map00564,map01100,map01110"	M00089	"R02241,R09381"	"RC00004,RC00037,RC00039"	"ko00000,ko00001,ko00002,ko01000,ko01004"	-	-	-	Acyltransferase
WP_002916831.1	K	transcriptional regulator	-	-	-	"ko:K07506,ko:K13652"	-	-	-	-	"ko00000,ko03000"	-	-	-	"GyrI-like,HTH_18"
WP_002916833.1	S	Bacterial OB fold (BOF) protein	ygiW	"GO:0000302,GO:0006950,GO:0006979,GO:0008150,GO:0009636,GO:0009987,GO:0010035,GO:0010038,GO:0033554,GO:0034599,GO:0034614,GO:0035690,GO:0042221,GO:0042493,GO:0042542,GO:0042710,GO:0044010,GO:0044011,GO:0044764,GO:0046677,GO:0046686,GO:0050896,GO:0051703,GO:0051704,GO:0051716,GO:0070301,GO:0070887,GO:0071236,GO:0071241,GO:0071248,GO:0071276,GO:0090605,GO:0090609,GO:0097237,GO:1901700,GO:1901701"	-	-	-	-	-	-	-	-	-	-	BOF
WP_002916836.1	K	response regulator	qseB	"GO:0006139,GO:0006351,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010035,GO:0010038,GO:0010467,GO:0016070,GO:0018130,GO:0019438,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0042221,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0046483,GO:0050896,GO:0071704,GO:0090304,GO:0097659,GO:1901360,GO:1901362,GO:1901576"	-	ko:K07666	"ko02020,ko02024,map02020,map02024"	M00453	-	-	"ko00000,ko00001,ko00002,ko02022"	-	-	-	"Response_reg,Trans_reg_C"
WP_002916842.1	S	monooxygenase	ygiN	"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0008150,GO:0008152,GO:0009268,GO:0009628,GO:0010447,GO:0016491,GO:0044424,GO:0044444,GO:0044464,GO:0050896,GO:0055114"	-	-	-	-	-	-	-	-	-	iEcSMS35_1347.EcSMS35_3317	ABM
WP_002916844.1	L	Topoisomerase IV is essential for chromosome segregation. It relaxes supercoiled DNA. Performs the decatenation events required during the replication of a circular DNA molecule	parE	"GO:0000819,GO:0003674,GO:0003824,GO:0003916,GO:0003918,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006265,GO:0006276,GO:0006725,GO:0006807,GO:0006996,GO:0007049,GO:0007059,GO:0007062,GO:0008094,GO:0008150,GO:0008152,GO:0009295,GO:0009987,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016853,GO:0016887,GO:0017111,GO:0022402,GO:0030541,GO:0034641,GO:0042623,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0051276,GO:0061505,GO:0071103,GO:0071704,GO:0071840,GO:0090304,GO:0098813,GO:0140097,GO:1901360"	-	ko:K02622	-	-	-	-	"ko00000,ko01000,ko02048,ko03032,ko03036"	-	-	-	"DNA_gyraseB,DNA_gyraseB_C,HATPase_c,Toprim"
WP_002916845.1	S	esterase	yqiA	"GO:0003674,GO:0003824,GO:0016787,GO:0016788"	-	ko:K07000	-	-	-	-	ko00000	-	-	-	UPF0227
