strain_x,species,species_match,contig_count,N50,largest_contig,total_size,ambiguous_bases,QC_warnings,ST,virulence_score,resistance_score,num_resistance_classes,num_resistance_genes,Yersiniabactin,YbST,Colibactin,CbST,Aerobactin,AbST,Salmochelin,SmST,RmpADC,RmST,rmpA2,wzi,K_locus,K_type,K_locus_problems,K_locus_confidence,K_locus_identity,K_locus_missing_genes,O_locus,O_type,O_locus_problems,O_locus_confidence,O_locus_identity,O_locus_missing_genes,AGly_acquired,Col_acquired,Fcyn_acquired,Flq_acquired,Gly_acquired,MLS_acquired,Phe_acquired,Rif_acquired,Sul_acquired,Tet_acquired,Tgc_acquired,Tmt_acquired,Bla_acquired,Bla_inhR_acquired,Bla_ESBL_acquired,Bla_ESBL_inhR_acquired,Bla_Carb_acquired,Bla_chr,SHV_mutations,Omp_mutations,Col_mutations,Flq_mutations,truncated_resistance_hits,spurious_resistance_hits,Chr_ST,gapA,infB,mdh,pgi,phoE,rpoB,tonB,ybtS,ybtX,ybtQ,ybtP,ybtA,irp2,irp1,ybtU,ybtT,ybtE,fyuA,clbA,clbB,clbC,clbD,clbE,clbF,clbG,clbH,clbI,clbL,clbM,clbN,clbO,clbP,clbQ,iucA,iucB,iucC,iucD,iutA,iroB,iroC,iroD,iroN,rmpA,rmpD,rmpC,spurious_virulence_hits,ID,Assembly Name,geo_loc_name,collected_by,isolation_source,collection_date,strain_y,lat_lon,isolate_name_alias,identification method,host_sex,host_disease,host_age,host,culture_collection,isolate,host_disease_outcome,host_health_state,host_description,host_disease_stage,sample_type,sample_name,env_broad_scale,env_local_scale,env_medium,isol_growth_condt,locus_tag_prefix,num_replicons,project_name,ref_biomaterial,source_material_id,sub_species,type-material,fecal,genotype,host_tissue_sampled,env_package,investigation_type,Laboratory Host,Extraction Method,passage_history,Extraction Date,Passage Date,host_subject_id,pathotype,serotype,serovar,specimen_voucher,subgroup,subtype,ENA first public,ENA last update,ENA-CHECKLIST,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,broker name,note,panel_id,Bar Code No,sample_number,Panel_ID,encoded_traits,biomaterial_provider,depth,ontological term,ifsac_category,source_type,ENA-LAST-UPDATE,geographic location (region and locality),scientific_name,relative_week,collection_room,identified_by,host_taxid,sample_id,perturbation,rel_to_oxygen,study_id,wastewater_type,isolated by,attribute_package,PublicAccession,ProjectAccession,Species,Genus,sequenced_by,replicate,assembly_method,assembly_method_version,genome_coverage,sequencing_technology,filename,altitude,samp_size,temp,Acquisition,Sequencing facility,drug_usage,estimated_size,health_state,host_body_product,MLST,N/A,dermatology_disord,extrachrom_elements,alternate_ID,Meropenem resistant,authors,phenotype,beta_lactamase_family,carbapenemase,edta_inhibitor_tested,collecting_lab,biological_replicate,altitude_info,ENA-FIRST-PUBLIC,anonymized name,supplier_name,common name,geographic location (latitude),geographic location (longitude),ArrayExpress-SPECIES,subject id,description,environmental sample,sequencing method,wastewater/sludge environmental package,library construction method,In_List
GCF_900517145.1_18489_5_104_genomic,Klebsiella pneumoniae,strong,51,407057,1397968,5467012,no,-,ST48,2,0,0,0,ybt 0; ICEKp10,227-1LV,clb 3,17-2LV,-,0,-,0,-,0,-,wzi167,KL124,unknown (KL124),-,High,99.62%,"KL124_07_wbaP,KL124_08_wctK",O1/O2v1,O2a,none,Very high,98.29%,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-11^,35Q,-,-,-,-,-,ST48,2,5,2,2,7,1,10,6,14,134,12,10,24,21,11,11,12,14,2,8,2,2,2,2,2,8,2,2,2,2,2,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_900517145_1,18489_5#104,Spain,,urine,2014,EuSCAPE_ES200,,,,,,,Homo sapiens,,,,Colonization,,,,3754STDY6170976-sc-2368913,,,,,,,,,,,,,,,,,,,,,,,,,not available,,,,,,ERC000011,SAMEA3649516,,SC,2016-02-23T15:26:09Z,2018-08-06T09:47:10Z,public,3754STDY6170976-sc-2368913,,,,,,,,,,,,,2018-08-06T09:47:10Z,,Klebsiella pneumoniae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-02-23T15:26:09Z,2368913,EuSCAPE_ES200,Klebsiella pneumoniae,,,,,,,,,,non redundant
GCF_900517195.1_18489_5_113_genomic,Klebsiella pneumoniae,strong,89,353733,1175153,5594316,no,-,ST42,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,wzi33,KL64,K64,none,Very high,99.85%,,O1/O2v1,O2a,none,Very high,99.33%,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-1,-,-,-,-,-,-,ST42,2,6,1,3,8,1,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_900517195_1,18489_5#113,Spain,,blood,2014,EuSCAPE_ES209,,,,,,,Homo sapiens,,,,Infection,,,,3754STDY6170986-sc-2368923,,,,,,,,,,,,,,,,,,,,,,,,,not available,,,,,,ERC000011,SAMEA3649525,,SC,2016-02-23T15:26:09Z,2018-08-06T09:47:10Z,public,3754STDY6170986-sc-2368923,,,,,,,,,,,,,2018-08-06T09:47:10Z,,Klebsiella pneumoniae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-02-23T15:26:09Z,2368923,EuSCAPE_ES209,Klebsiella pneumoniae,,,,,,,,,,redundant
GCF_900517205.1_18489_5_108_genomic,Klebsiella pneumoniae,strong,160,163260,564044,5713059,no,-,ST163,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,wzi164,KL139,unknown (KL139),none,Very high,97.76%,,O4,O4,none,Very high,99.59%,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-36,35Q,-,-,-,-,-,ST163,2,1,1,1,9,1,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_900517205_1,18489_5#108,Spain,,blood,2013,EuSCAPE_ES204,,,,,,,Homo sapiens,,,,Infection,,,,3754STDY6170981-sc-2368918,,,,,,,,,,,,,,,,,,,,,,,,,not available,,,,,,ERC000011,SAMEA3649520,,SC,2016-02-23T15:26:09Z,2018-08-06T09:47:10Z,public,3754STDY6170981-sc-2368918,,,,,,,,,,,,,2018-08-06T09:47:10Z,,Klebsiella pneumoniae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-02-23T15:26:09Z,2368918,EuSCAPE_ES204,Klebsiella pneumoniae,,,,,,,,,,redundant
GCF_900517215.1_18489_5_111_genomic,Klebsiella pneumoniae,strong,66,477210,1695886,5481151,no,-,ST3645,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,-,KL126,unknown (KL126),none,Very high,99.49%,,OL13,O13,*,Very high,95.09%,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-1,-,-,-,-,-,-,ST3645,4,1,2,6,2,2,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_900517215_1,18489_5#111,Spain,,blood,2014,EuSCAPE_ES207,,,,,,,Homo sapiens,,,,Infection,,,,3754STDY6170984-sc-2368921,,,,,,,,,,,,,,,,,,,,,,,,,not available,,,,,,ERC000011,SAMEA3649523,,SC,2016-02-23T15:26:09Z,2018-08-06T09:47:10Z,public,3754STDY6170984-sc-2368921,,,,,,,,,,,,,2018-08-06T09:47:10Z,,Klebsiella pneumoniae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-02-23T15:26:09Z,2368921,EuSCAPE_ES207,Klebsiella pneumoniae,,,,,,,,,,redundant
GCF_900517315.1_18489_5_118_genomic,Klebsiella pneumoniae,strong,119,372349,550869,5437520,no,-,ST942,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,wzi87,KL21,K21,?-,Good,99.44%,KL21_17_manC,O3b,O3b,?-,Good,99.19%,O3b_01_manC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-11^,35Q,-,-,-,-,sul1?-64%,ST942,2,1,2,1,16,4,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_900517315_1,18489_5#118,Spain,,urine,2014,EuSCAPE_ES214,,,,,,,Homo sapiens,,,,Infection,,,,3754STDY6170991-sc-2368928,,,,,,,,,,,,,,,,,,,,,,,,,not available,,,,,,ERC000011,SAMEA3649530,,SC,2016-02-23T15:26:09Z,2018-08-06T09:47:11Z,public,3754STDY6170991-sc-2368928,,,,,,,,,,,,,2018-08-06T09:47:11Z,,Klebsiella pneumoniae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-02-23T15:26:09Z,2368928,EuSCAPE_ES214,Klebsiella pneumoniae,,,,,,,,,,non redundant
GCF_900517455.1_18489_5_147_genomic,Klebsiella pneumoniae,strong,122,249868,448832,5691636,no,-,ST37,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,wzi50,KL15,K15,none,Very high,99.79%,,O4,O4,none,Very high,99.72%,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-11^,35Q,-,-,-,-,-,ST37,2,9,2,1,13,1,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_900517455_1,18489_5#147,Spain,,blood,2014,EuSCAPE_ES243,,,,,,,Homo sapiens,,,,Infection,,,,3754STDY6171020-sc-2368957,,,,,,,,,,,,,,,,,,,,,,,,,not available,,,,,,ERC000011,SAMEA3649559,,SC,2016-02-23T15:26:09Z,2018-08-06T09:47:11Z,public,3754STDY6171020-sc-2368957,,,,,,,,,,,,,2018-08-06T09:47:11Z,,Klebsiella pneumoniae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-02-23T15:26:09Z,2368957,EuSCAPE_ES243,Klebsiella pneumoniae,,,,,,,,,,redundant
GCF_900517485.1_18489_5_148_genomic,Klebsiella pneumoniae,strong,85,348532,872026,5629556,no,-,ST3647,0,0,1,2,-,0,-,0,-,0,-,0,-,0,-,wzi56,KL30,K30,*,Very high,96.41%,,O1/O2v1,O2a,none,Very high,98.16%,,strA.v1;strB.v1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-144^,146V;35Q,-,-,-,-,-,ST3647,4,1,1,1,7,1,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_900517485_1,18489_5#148,Spain,,blood,2014,EuSCAPE_ES244,,,,,,,Homo sapiens,,,,Infection,,,,3754STDY6171021-sc-2368958,,,,,,,,,,,,,,,,,,,,,,,,,not available,,,,,,ERC000011,SAMEA3649560,,SC,2016-02-23T15:26:09Z,2018-08-06T09:47:11Z,public,3754STDY6171021-sc-2368958,,,,,,,,,,,,,2018-08-06T09:47:11Z,,Klebsiella pneumoniae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-02-23T15:26:09Z,2368958,EuSCAPE_ES244,Klebsiella pneumoniae,,,,,,,,,,non redundant
GCF_900517495.1_18489_5_15_genomic,Klebsiella pneumoniae,strong,931,207266,457008,5969661,no,-,ST792,2,1,1,1,ybt 17; ICEKp10,281,clb 3,15,-,0,-,0,-,0,-,wzi25,KL25,K25,none,Perfect,100.00%,,O3/O3a,O3/O3a,none,Very high,98.57%,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CTX-M-10?,-,-,SHV-1*,-,-,-,-,-,-,ST792,2,7,1,26,1,4,4,6,15,5,4,11,78,26,2,11,4,2,2,10,2,2,2,2,2,3,2,2,2,2,6,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_900517495_1,18489_5#15,Spain,,urine,2013,EuSCAPE_ES275,,,,,,,Homo sapiens,,,,Infection,,,,3754STDY6171052-sc-2369009,,,,,,,,,,,,,,,,,,,,,,,,,not available,,,,,,ERC000011,SAMEA3649611,,SC,2016-02-23T15:26:09Z,2018-08-06T09:47:11Z,public,3754STDY6171052-sc-2369009,,,,,,,,,,,,,2018-08-06T09:47:11Z,,Klebsiella pneumoniae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-02-23T15:26:09Z,2369009,EuSCAPE_ES275,Klebsiella pneumoniae,,,,,,,,,,non redundant
GCF_900517605.1_18489_5_162_genomic,Klebsiella pneumoniae,strong,122,151980,299400,5534259,no,-,ST453,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,-,KL8,K8,?,Good,98.89%,,O1/O2v2,O2afg,none,Very high,98.34%,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-116,-,-,-,-,-,-,ST453,2,50,1,1,21,4,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_900517605_1,18489_5#162,Spain,,urine,2014,EuSCAPE_ES258,,,,,,,Homo sapiens,,,,Infection,,,,3754STDY6171035-sc-2368975,,,,,,,,,,,,,,,,,,,,,,,,,not available,,,,,,ERC000011,SAMEA3649577,,SC,2016-02-23T15:26:09Z,2018-08-06T09:47:11Z,public,3754STDY6171035-sc-2368975,,,,,,,,,,,,,2018-08-06T09:47:11Z,,Klebsiella pneumoniae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-02-23T15:26:09Z,2368975,EuSCAPE_ES258,Klebsiella pneumoniae,,,,,,,,,,non redundant
GCF_900607505.1_kpneu009_genomic,Klebsiella pneumoniae,strong,3,5380413,5380413,5558555,no,-,ST1785,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,wzi385,unknown (KL22),unknown (K22),-+*,None,98.80%,"KL22_07_wzy,KL22_08,KL22_09,KL22_10_wfeD,KL22_11_wzx,KL22_13,KL22_17",O1/O2v2,O2afg,-,High,98.45%,O1/O2v2_06_wbbO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-1;SHV-1^,-,OmpK36-39%,-,-,SHV-102*-10%;SHV-102*-20%;SHV-102*-22%;SHV-102*-4%;SHV-102*-4%;SHV-102*-4%;SHV-102*-4%;SHV-102*-4%;SHV-102*-4%;SHV-102*-86%;SHV-102*-9%;SHV-102*-9%,ant(3'')-IIa*?-11%,ST1785,2,1,2,1,224,1,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_900607505_1,kpneu009,Switzerland,University Basel Hospital,hospital,2010,,47.562939 N 7.583467 E,,,,,,Homo sapiens,,kpneu009,,diseased,,,,kpneu009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ERC000028,SAMEA4916042,,"BIOZENTRUM, UNIVERSITY OF BASEL",2018-10-30T17:02:43Z,2018-09-17T14:58:03Z,public,kpneu009,,,,,,,,,,,,,2018-09-17T14:58:03Z,,Klebsiella pneumoniae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-10-30T17:02:43Z,,,Klebsiella pneumoniae,,,,,,,,,,non redundant
GCF_900607555.1_kpneu011_genomic,Klebsiella pneumoniae,strong,5,5309653,5309653,5385247,no,-,ST2719,0,2,1,1,-,0,-,0,-,0,-,0,-,0,-,wzi81,unknown (KL81),unknown (K81),-*,None,98.33%,"KL81_06_wzc,KL81_08_wcaA,KL81_09_wzy,KL81_10_wclJ,KL81_11_wcuM,KL81_12_wcqM,KL81_13_wcmZ,KL81_14_wzx,KL81_15,KL81_16_gnd,KL81_17_rmlB",unknown (OL13),unknown (O13),-+*,None,93.92%,"OL13_01_rfbB,OL13_05_wbbL,OL13_06_wzm,OL13_07_wzt,OL13_09_glycosylhydrolase",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OXA-48,SHV-27^,156D,-,-,-,-,-,ST2719,2,1,151,87,7,1,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_900607555_1,kpneu011,Switzerland,University Basel Hospital,hospital,2013,,47.562939 N 7.583467 E,,,,,,Homo sapiens,,kpneu011,,diseased,,,,kpneu011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ERC000028,SAMEA4916045,,"BIOZENTRUM, UNIVERSITY OF BASEL",2018-10-30T17:02:43Z,2018-09-17T14:58:03Z,public,kpneu011,,,,,,,,,,,,,2018-09-17T14:58:03Z,,Klebsiella pneumoniae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-10-30T17:02:43Z,,,Klebsiella pneumoniae,,,,,,,,,,redundant
GCF_900635125.1_36252_B01_genomic,Klebsiella pneumoniae,strong,1,5093886,5093886,5093886,no,-,ST507,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,-,KL82,K82,+,Good,100.00%,,O12,O12,-+*,Good,74.92%,"O12_05_wbbL,O12_08_wbbB",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-11^,35Q,-,-,-,-,-,ST507,2,3,1,1,1,4,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_900635125_1,36252_B01,United Kingdom: Coventry,,not available: to be reported later,1900/1980,NCTC11359,,,,,,,not available,NCTC:11359,,,not available: to be reported later,,,,NCTC11359-sc-2229430,,,,,,,,,,,,,,,,,,,,,,,,,Capsular type 82,,,,,,ERC000011,SAMEA3251435,,SC,2015-05-26T09:51:22Z,2018-06-08T10:20:54Z,public,NCTC11359-sc-2229430,,,,,,,,,,,,,2018-06-08T10:20:54Z,,Klebsiella pneumoniae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-05-26T09:51:22Z,3012STDY6050616,NCTC11359,Klebsiella pneumoniae,,,,,,,,,,redundant
GCF_900707015.1_38187_C01_genomic,Klebsiella pneumoniae,strong,7,5260299,5260299,5503293,no,-,ST692,0,0,1,1,-,0,-,0,-,0,-,0,-,0,-,wzi349,KL147,unknown (KL147),none,Very high,99.93%,,O1/O2v2,O2afg,none,Very high,98.81%,,-,-,-,-,-,-,-,-,-,tet(C)*,-,-,-,-,-,-,-,SHV-1^,-,-,-,-,-,-,ST692,2,1,2,1,1,4,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_900707015_1,38187_C01,,,not available: not collected,1900/1955,NCTC9656,,,,,,,Bovine,NCTC:9656,,,Disease (mastitis),,,,NCTC9656-sc-2275227,,,,,,,,,,,,,,,,,,,,,,,,,Capsular serotype 4,,,,,,ERC000011,SAMEA3345129,,SC,2015-07-21T10:01:36Z,2019-03-07T16:25:08Z,public,NCTC9656-sc-2275227,,,,,,,,,,,,,2019-03-07T16:25:08Z,,Klebsiella pneumoniae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-07-21T10:01:36Z,3012STDY6089062,NCTC9656_150415,Klebsiella pneumoniae,,,,,,,,,,redundant
GCF_900774105.1_25293_8_117-2_genomic,Klebsiella pneumoniae,strong,75,370949,980222,5792318,yes (13),ambiguous_bases,ST1846-1LV,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,-,unknown (KL14),unknown (K14),?+,Low,99.67%,,O3b,O3b,none,Very high,99.28%,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-1,-,-,-,-,-,-,ST1846-1LV,2,1,164,1,7,4,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_900774105_1,25293_8#117-2,,,not available,,5012STDY7312713,,,,,,,not available,,,,not available,,,,3155064e-0829-11e8-899b-3c4a9275d6c8,,,,,,,,,,,,,,,,,,,,,,,,,not available,,,,,,ERC000011,SAMEA104567895,,SC,2019-02-08T17:03:58Z,2019-02-20T16:04:04Z,public,3155064e-0829-11e8-899b-3c4a9275d6c8,,,,,,,,,,,,,2019-02-20T16:04:04Z,,Klebsiella pneumoniae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-08T17:03:58Z,3531467,AMR0176,Klebsiella pneumoniae,,,Klebsiella pneumoniae,5012STDY7312713,,,,,,redundant
GCF_900774145.1_25293_8_116-2_genomic,Klebsiella pneumoniae,strong,56,402478,1093977,5501361,yes (60),ambiguous_bases,ST1536,0,0,3,5,-,0,-,0,-,0,-,0,-,0,-,wzi46,KL61,K61,none,Very high,96.54%,,O1/O2v1,O2a,none,Very high,98.31%,,aac(3)-IV;aph(4)-Ia;strB.v1,-,-,-,-,-,-,-,sul2,-,-,dfrA14.v2,-,-,-,-,-,SHV-206*,-,-,-,-,strA.v1?-81%,qnrB19?-0%;qnrB5*?-60%;strA.v1*?-66%,ST1536,2,1,2,37,45,4,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_900774145_1,25293_8#116-2,,,not available,,5012STDY7312712,,,,,,,not available,,,,not available,,,,314e763a-0829-11e8-899b-3c4a9275d6c8,,,,,,,,,,,,,,,,,,,,,,,,,not available,,,,,,ERC000011,SAMEA104567894,,SC,2019-02-08T17:03:58Z,2019-02-20T16:04:04Z,public,314e763a-0829-11e8-899b-3c4a9275d6c8,,,,,,,,,,,,,2019-02-20T16:04:04Z,,Klebsiella pneumoniae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-08T17:03:58Z,3531466,AMR0175,Klebsiella pneumoniae,,,Klebsiella pneumoniae,5012STDY7312712,,,,,,redundant
GCF_900774295.1_25293_8_101-2_genomic,Klebsiella pneumoniae,strong,35,359893,1707093,5508404,yes (8),ambiguous_bases,ST15,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,wzi349,KL112,unknown (KL112),none,Very high,99.86%,,O1/O2v2,O2afg,none,Very high,98.68%,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-28^,-,-,-,-,-,-,ST15,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_900774295_1,25293_8#101-2,,,not available,,5012STDY7312697,,,,,,,not available,,,,not available,,,,30dd1346-0829-11e8-899b-3c4a9275d6c8,,,,,,,,,,,,,,,,,,,,,,,,,not available,,,,,,ERC000011,SAMEA104567879,,SC,2019-02-08T17:03:58Z,2019-02-20T16:04:03Z,public,30dd1346-0829-11e8-899b-3c4a9275d6c8,,,,,,,,,,,,,2019-02-20T16:04:03Z,,Klebsiella pneumoniae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-08T17:03:58Z,3531451,AMR0148,Klebsiella pneumoniae,,,Klebsiella pneumoniae,5012STDY7312697,,,,,,redundant
GCF_900774335.1_25293_8_110-2_genomic,Klebsiella pneumoniae,strong,39,353060,1017026,5536942,yes (428),ambiguous_bases,ST3612,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,-,KL105,unknown (KL105),none,Very high,98.81%,,O3b,O3b,none,Very high,99.32%,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-1,-,-,-,-,-,fosA7*?-0%,ST3612,10,1,11,1,10,1,112,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_900774335_1,25293_8#110-2,,,not available,,5012STDY7312706,,,,,,,not available,,,,not available,,,,3122b7de-0829-11e8-899b-3c4a9275d6c8,,,,,,,,,,,,,,,,,,,,,,,,,not available,,,,,,ERC000011,SAMEA104567888,,SC,2019-02-08T17:03:58Z,2019-02-20T16:04:03Z,public,3122b7de-0829-11e8-899b-3c4a9275d6c8,,,,,,,,,,,,,2019-02-20T16:04:03Z,,Klebsiella pneumoniae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-08T17:03:58Z,3531460,AMR0169,Klebsiella pneumoniae,,,Klebsiella pneumoniae,5012STDY7312706,,,,,,redundant
GCF_900774475.1_25293_8_134-2_genomic,Klebsiella pneumoniae,strong,55,363176,770961,5580563,yes (287),ambiguous_bases,ST1569,0,0,1,1,-,0,-,0,-,0,-,0,-,0,-,wzi25,KL25,K25,-,High,99.81%,KL25_09_wfeD,O3b,O3b,none,Very high,99.29%,,-,-,-,-,-,-,-,-,-,-,-,-,TEM-1D.v1^,-,-,-,-,SHV-1,-,-,-,-,-,-,ST1569,10,1,11,1,9,8,257,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_900774475_1,25293_8#134-2,,,not available,,5012STDY7312730,,,,,,,not available,,,,not available,,,,31c7468c-0829-11e8-899b-3c4a9275d6c8,,,,,,,,,,,,,,,,,,,,,,,,,not available,,,,,,ERC000011,SAMEA104567912,,SC,2019-02-08T17:03:58Z,2019-02-20T16:04:04Z,public,31c7468c-0829-11e8-899b-3c4a9275d6c8,,,,,,,,,,,,,2019-02-20T16:04:04Z,,Klebsiella pneumoniae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-08T17:03:58Z,3531484,AMR0196,Klebsiella pneumoniae,,,Klebsiella pneumoniae,5012STDY7312730,,,,,,redundant
GCF_900774505.1_25293_8_137-2_genomic,Klebsiella pneumoniae,strong,32,2948991,2948991,5370588,yes (282),ambiguous_bases,ST1607,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,wzi305,KL55,K55,*,Very high,96.21%,,O3/O3a,O3/O3a,*,Very high,95.50%,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-1,-,-,-,-,-,-,ST1607,4,5,101,1,76,4,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_900774505_1,25293_8#137-2,,,not available,,5012STDY7312733,,,,,,,not available,,,,not available,,,,31e2cfb0-0829-11e8-899b-3c4a9275d6c8,,,,,,,,,,,,,,,,,,,,,,,,,not available,,,,,,ERC000011,SAMEA104567915,,SC,2019-02-08T17:03:58Z,2019-02-20T16:04:04Z,public,31e2cfb0-0829-11e8-899b-3c4a9275d6c8,,,,,,,,,,,,,2019-02-20T16:04:04Z,,Klebsiella pneumoniae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-08T17:03:58Z,3531487,AMR0199,Klebsiella pneumoniae,,,Klebsiella pneumoniae,5012STDY7312733,,,,,,redundant
