query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
group_5840	61647.LG71_03435	6.4e-20	81.3	2EQFE@1|root,33I1E@2|Bacteria,1NHUC@1224|Proteobacteria,1SGC0@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Domain of unknown function (DUF4222)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4222
group_5846	1484157.PSNIH2_20905	1.72e-244	671.0	COG5377@1|root,COG5377@2|Bacteria,1QXFN@1224|Proteobacteria,1RR25@1236|Gammaproteobacteria	1236|Gammaproteobacteria	L	phage-type endonuclease	-	-	-	-	-	-	-	-	-	-	-	-	YqaJ
group_5852	701347.Entcl_1364	2.88e-251	691.0	COG2801@1|root,COG2963@1|root,COG2801@2|Bacteria,COG2963@2|Bacteria,1MVN5@1224|Proteobacteria,1RP6D@1236|Gammaproteobacteria,3X3NH@547|Enterobacter	1236|Gammaproteobacteria	L	Integrase, catalytic region	-	-	-	ko:K07497	-	-	-	-	ko00000	-	-	-	HTH_21,HTH_Tnp_1,rve,rve_3
group_5858	640513.Entas_4658	3.67e-197	556.0	COG3500@1|root,COG3500@2|Bacteria,1MXT8@1224|Proteobacteria,1RMKC@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	late control	gpD	-	-	ko:K06905	-	-	-	-	ko00000	-	-	-	Phage_GPD
gpFI~~~gpFI_2~~~gpFI_1	640513.Entas_4659	1.32e-289	791.0	COG3497@1|root,COG3497@2|Bacteria,1MW1V@1224|Proteobacteria,1RNUT@1236|Gammaproteobacteria,3X36F@547|Enterobacter	1236|Gammaproteobacteria	S	Phage tail sheath C-terminal domain	fI	-	-	ko:K06907	-	-	-	-	ko00000	-	-	-	Phage_sheath_1,Phage_sheath_1C
group_5859	1453496.AT03_17145	2.01e-278	763.0	COG0582@1|root,COG0582@2|Bacteria,1MU23@1224|Proteobacteria,1RMJ1@1236|Gammaproteobacteria	1236|Gammaproteobacteria	L	Belongs to the 'phage' integrase family	intS	-	-	-	-	-	-	-	-	-	-	-	Arm-DNA-bind_3,Phage_integrase
group_5869	571.MC52_30575	1.81e-107	315.0	2CC5S@1|root,32RUW@2|Bacteria,1N1QQ@1224|Proteobacteria,1S9MF@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Protein of unknown function (DUF2913)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2913
group_5875	1097668.BYI23_E000860	1.22e-13	69.3	2FEJ8@1|root,346IQ@2|Bacteria,1P2IB@1224|Proteobacteria	1224|Proteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
group_5879	1197719.A464_plas0091	2.57e-186	523.0	COG5464@1|root,COG5464@2|Bacteria,1MUSP@1224|Proteobacteria,1RNUW@1236|Gammaproteobacteria,3ZIVP@590|Salmonella	1236|Gammaproteobacteria	S	Putative transposase, YhgA-like	-	-	-	-	-	-	-	-	-	-	-	-	Transposase_31
group_5883	398578.Daci_2302	2.3e-212	608.0	COG0515@1|root,COG0515@2|Bacteria,1NCU2@1224|Proteobacteria,2VZ8N@28216|Betaproteobacteria	28216|Betaproteobacteria	KLT	serine threonine protein kinase	-	-	-	-	-	-	-	-	-	-	-	-	-
group_5889	1225184.ALXE01000018_gene3828	4.06e-58	182.0	2A7AP@1|root,30W7C@2|Bacteria,1REKY@1224|Proteobacteria,1S4M4@1236|Gammaproteobacteria	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
group_5888	754331.AEME01000001_gene3741	1.05e-238	661.0	COG0582@1|root,COG0582@2|Bacteria,1MU23@1224|Proteobacteria,1RMJ1@1236|Gammaproteobacteria,3XPQ0@561|Escherichia	1236|Gammaproteobacteria	L	Pfam:DUF4102	-	-	-	-	-	-	-	-	-	-	-	-	Arm-DNA-bind_3,Phage_integrase
vgrG_2~~~vgrG_7~~~vgrG_5~~~vgrG_1~~~vgrG_6~~~vgrG_3~~~vgrG	1073999.BN137_892	0.0	1293.0	COG3501@1|root,COG4253@1|root,COG3501@2|Bacteria,COG4253@2|Bacteria,1MU7Q@1224|Proteobacteria,1RN6G@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	protein conserved in bacteria	-	-	-	ko:K11904	ko03070,map03070	M00334	-	-	ko00000,ko00001,ko00002,ko02044	3.A.23.1	-	-	DUF2345,Phage_GPD,T6SS_Vgr
group_5913	1484157.PSNIH2_21995	1.27e-77	237.0	COG0741@1|root,COG0741@2|Bacteria,1QRXT@1224|Proteobacteria,1RV66@1236|Gammaproteobacteria,3W1WC@53335|Pantoea	1236|Gammaproteobacteria	M	lytic transglycosylase activity	-	-	-	-	-	-	-	-	-	-	-	-	-
group_5917	630626.EBL_c20870	1.49e-12	61.2	2EQZH@1|root,33IJ3@2|Bacteria,1NN9B@1224|Proteobacteria,1SIV6@1236|Gammaproteobacteria	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
pemI	1005999.GLGR_0923	1.04e-54	171.0	COG2336@1|root,COG2336@2|Bacteria,1N4WH@1224|Proteobacteria,1S75G@1236|Gammaproteobacteria	1236|Gammaproteobacteria	T	SpoVT AbrB domain-containing protein	pemI	-	-	ko:K18842	-	-	-	-	ko00000,ko02048	-	-	-	MazE_antitoxin
group_5922	573.JG24_02050	1.56e-94	281.0	2CC5S@1|root,32RUW@2|Bacteria,1N1QQ@1224|Proteobacteria,1S9MF@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Protein of unknown function (DUF2913)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2913
group_5925	55207.KP22_21180	2.75e-197	553.0	COG3704@1|root,COG3704@2|Bacteria,1P5RF@1224|Proteobacteria,1RRHB@1236|Gammaproteobacteria,1MQ8P@122277|Pectobacterium	1236|Gammaproteobacteria	U	TrbL/VirB6 plasmid conjugal transfer protein	triE	-	-	ko:K03201	ko03070,map03070	M00333	-	-	ko00000,ko00001,ko00002,ko02044	3.A.7	-	-	TrbL
group_16365	667121.ET1_11_00830	3.99e-50	163.0	2CADQ@1|root,337GZ@2|Bacteria,1NAKT@1224|Proteobacteria,1SF1M@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Entry exclusion protein 2	-	-	-	-	-	-	-	-	-	-	-	-	-
group_5935	1178482.BJB45_08255	1.97e-92	285.0	2C34H@1|root,32RBJ@2|Bacteria,1RKGG@1224|Proteobacteria,1SICZ@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Protein of unknown function (DUF4238)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4238
sppA_3~~~sppA_4~~~sppA_2~~~sppA_1	1484157.PSNIH2_22060	2.7e-114	345.0	COG0616@1|root,COG0616@2|Bacteria,1MUXE@1224|Proteobacteria,1RNYW@1236|Gammaproteobacteria,3W1WW@53335|Pantoea	1236|Gammaproteobacteria	OU	Peptidase family S49	-	-	-	ko:K04773	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	Peptidase_S49
dsbC_2~~~dsbC_1	1484157.PSNIH2_21990	1.44e-69	221.0	COG1651@1|root,COG1651@2|Bacteria,1RD39@1224|Proteobacteria,1S3U8@1236|Gammaproteobacteria,3W210@53335|Pantoea	1236|Gammaproteobacteria	O	Required for disulfide bond formation in some periplasmic proteins. Acts by transferring its disulfide bond to other proteins and is reduced in the process	dsbC	-	5.3.4.1	ko:K03981	-	-	-	-	ko00000,ko01000,ko02044,ko03110	3.A.7.11.1	-	-	DsbC_N,Thioredoxin_2
group_15675	155864.EDL933_p0056	2.1e-84	256.0	2DBS6@1|root,2ZAQ5@2|Bacteria,1R4YE@1224|Proteobacteria,1T1U6@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Plasmid replication region DNA-binding N-term	-	-	-	-	-	-	-	-	-	-	-	-	KfrA_N
psiB~~~psiB_1	573.JG24_01405	1.49e-88	261.0	2EAYP@1|root,334ZM@2|Bacteria,1NBCK@1224|Proteobacteria,1SCFX@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Plasmid SOS inhibition protein (PsiB)	psiB	-	-	-	-	-	-	-	-	-	-	-	PsiB
group_5954	1443113.LC20_00088	7.47e-202	560.0	COG0827@1|root,COG0827@2|Bacteria,1MUZW@1224|Proteobacteria,1RSAY@1236|Gammaproteobacteria,41DR0@629|Yersinia	1236|Gammaproteobacteria	L	Domain of unknown function (DUF4942)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4942
group_5960	1005999.GLGR_1890	0.0	1029.0	COG1783@1|root,COG1783@2|Bacteria,1MVJB@1224|Proteobacteria,1RNRT@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	phage Terminase large subunit	-	-	-	-	-	-	-	-	-	-	-	-	Terminase_3,Terminase_6,Terminase_6C
group_26028	1005995.GTPT_3391	4.92e-71	214.0	2EHP5@1|root,33BEY@2|Bacteria,1NGA4@1224|Proteobacteria,1SH81@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Bacterial mobilisation protein (MobC)	-	-	-	-	-	-	-	-	-	-	-	-	MobC
traD_1~~~traD	1197719.A464_4524	0.0	1301.0	COG3505@1|root,COG3505@2|Bacteria,1MVGD@1224|Proteobacteria,1RNGF@1236|Gammaproteobacteria,3ZMUU@590|Salmonella	1236|Gammaproteobacteria	U	AAA-like domain	traD	-	-	ko:K12071	-	-	-	-	ko00000,ko02044	3.A.7.11.1	-	-	TraG-D_C,TrwB_AAD_bind
cspA_2~~~cspA_1	630626.EBL_c39990	1.43e-41	136.0	COG1278@1|root,COG1278@2|Bacteria,1N6Q5@1224|Proteobacteria,1SCA7@1236|Gammaproteobacteria	1236|Gammaproteobacteria	K	Cold shock	cspC	-	-	ko:K03704	-	-	-	-	ko00000,ko03000	-	-	-	CSD
intQ~~~intQ_2~~~intQ_1	103807.Q8W658_9CAUD	4.68e-243	676.0	4QAQE@10239|Viruses,4QUYF@35237|dsDNA viruses  no RNA stage,4QPDM@28883|Caudovirales,4QI70@10662|Myoviridae	10662|Myoviridae	S	DNA integration	-	-	-	-	-	-	-	-	-	-	-	-	-
group_5996	637910.ROD_33521	4.32e-71	214.0	2C0GK@1|root,333BP@2|Bacteria,1NFTV@1224|Proteobacteria,1SFIJ@1236|Gammaproteobacteria,3WZHS@544|Citrobacter	1236|Gammaproteobacteria	S	Protein of unknown function (DUF3487)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3487
fepD_1~~~fepD_2~~~fepD	1399774.JDWH01000038_gene4062	2.56e-196	549.0	COG0609@1|root,COG0609@2|Bacteria,1R87A@1224|Proteobacteria,1RP2K@1236|Gammaproteobacteria	1236|Gammaproteobacteria	P	Belongs to the binding-protein-dependent transport system permease family. FecCD subfamily	fecC	GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0008150,GO:0015603,GO:0015688,GO:0016020,GO:0022857,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071944,GO:1901678	-	ko:K02015	ko02010,map02010	M00240	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.14	-	iEC55989_1330.EC55989_4962,iECIAI39_1322.ECIAI39_4767,iEcE24377_1341.EcE24377A_4866	FecCD
group_6007	571.MC52_01515	4.84e-176	493.0	COG3617@1|root,COG3617@2|Bacteria,1N5YF@1224|Proteobacteria,1S0HV@1236|Gammaproteobacteria	1236|Gammaproteobacteria	K	KilA-N domain	-	-	-	-	-	-	-	-	-	-	-	-	KilA-N
group_6008	1115512.EH105704_01_01460	3.33e-25	100.0	COG1974@1|root,COG1974@2|Bacteria,1NG1P@1224|Proteobacteria,1SDEM@1236|Gammaproteobacteria,3XQ3J@561|Escherichia	1236|Gammaproteobacteria	KT	LexA DNA binding domain	-	-	-	-	-	-	-	-	-	-	-	-	LexA_DNA_bind
group_6041	593105.S7A_18259	1.03e-66	202.0	COG0640@1|root,COG0640@2|Bacteria,1MZT1@1224|Proteobacteria,1SAI5@1236|Gammaproteobacteria,3W0VI@53335|Pantoea	1236|Gammaproteobacteria	K	Bacterial regulatory protein, arsR family	arsR	-	-	ko:K03892	-	-	-	-	ko00000,ko03000	-	-	-	HTH_5,LMWPc
arsH~~~arsH_1~~~arsH_2	932213.SPM24T3_23817	8.66e-161	451.0	COG0431@1|root,COG0431@2|Bacteria,1MVEB@1224|Proteobacteria,1RNDB@1236|Gammaproteobacteria,4033Y@613|Serratia	1236|Gammaproteobacteria	S	NADPH-dependent FMN reductase	arsH	-	-	ko:K11811	-	-	-	-	ko00000	-	-	-	FMN_red
group_6046	573.JG24_10925	3.72e-71	216.0	2BIF6@1|root,32CMP@2|Bacteria,1RIND@1224|Proteobacteria,1S7SQ@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Prophage membrane protein	-	-	-	-	-	-	-	-	-	-	-	-	Phage_holin_8
group_28243	1410619.SRDD_15770	1.22e-103	316.0	28PVK@1|root,2ZCG6@2|Bacteria,1RC97@1224|Proteobacteria,1S3FW@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	PD-(D/E)XK nuclease superfamily	-	-	-	-	-	-	-	-	-	-	-	-	PDDEXK_4
group_13932	1005994.GTGU_04393	0.0	2112.0	COG0610@1|root,COG0610@2|Bacteria,1MU96@1224|Proteobacteria,1RP2Q@1236|Gammaproteobacteria	1236|Gammaproteobacteria	L	Subunit R is required for both nuclease and ATPase activities, but not for modification	hsdR	-	3.1.21.3	ko:K01153	-	-	-	-	ko00000,ko01000,ko02048	-	-	-	HSDR_N,ResIII
hns_3~~~hns_2	1225184.ALXE01000021_gene2591	7.31e-50	162.0	COG2916@1|root,COG2916@2|Bacteria,1R9YM@1224|Proteobacteria,1S24H@1236|Gammaproteobacteria,3W0KY@53335|Pantoea	1236|Gammaproteobacteria	L	Belongs to the histone-like protein H-NS family	hns	-	-	ko:K03746,ko:K11685	-	-	-	-	ko00000,ko03036,ko03400	-	-	-	Histone_HNS
group_6073	1115515.EV102420_37_00120	2.63e-123	352.0	COG3728@1|root,COG5556@1|root,COG3728@2|Bacteria,COG5556@2|Bacteria,1RG2M@1224|Proteobacteria,1S5U8@1236|Gammaproteobacteria	1236|Gammaproteobacteria	L	terminase, small subunit	-	-	-	ko:K07474	-	-	-	-	ko00000	-	-	-	Terminase_2
group_6086	573.JG24_22015	9.04e-303	860.0	28HIF@1|root,2Z7TX@2|Bacteria,1MY24@1224|Proteobacteria,1RN69@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	replication	-	-	-	-	-	-	-	-	-	-	-	-	Phage_GPA
dam_2~~~dam_3~~~dam_1~~~dam_4	1197719.A464_1373	2.04e-97	300.0	COG0338@1|root,COG0338@2|Bacteria,1P85S@1224|Proteobacteria,1RMNW@1236|Gammaproteobacteria	1236|Gammaproteobacteria	L	Site-specific DNA-methyltransferase (Adenine-specific)	-	-	2.1.1.72	ko:K06223	ko03430,map03430	-	-	-	ko00000,ko00001,ko01000,ko02048,ko03032,ko03400	-	-	-	MethyltransfD12
group_6102	573.JG24_07720	1.38e-232	642.0	COG4695@1|root,COG4695@2|Bacteria,1MWA5@1224|Proteobacteria,1RPXY@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	portal protein	Q	-	-	-	-	-	-	-	-	-	-	-	Phage_portal
group_6113	1115512.EH105704_01_02050	4.43e-35	123.0	2E242@1|root,32XB9@2|Bacteria,1N152@1224|Proteobacteria,1SB8V@1236|Gammaproteobacteria,3XR9J@561|Escherichia	1236|Gammaproteobacteria	-	-	-	-	-	ko:K03503	-	-	-	-	ko00000,ko01000,ko01002,ko03400	-	-	-	-
group_28261	571.MC52_01595	5.54e-21	91.7	2EF6Y@1|root,338ZZ@2|Bacteria,1NEYQ@1224|Proteobacteria,1SCRH@1236|Gammaproteobacteria	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
group_6114	1224318.DT73_00525	6.25e-182	516.0	COG3299@1|root,COG3299@2|Bacteria,1PYEJ@1224|Proteobacteria,1S5FS@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	of phage Mu protein gp47	-	-	-	-	-	-	-	-	-	-	-	-	Baseplate_J
group_6120	1197719.A464_4516	6.42e-161	450.0	2DB81@1|root,2Z7PS@2|Bacteria,1MY5A@1224|Proteobacteria,1RP4B@1236|Gammaproteobacteria,3ZN9S@590|Salmonella	1236|Gammaproteobacteria	S	Protein of unknown function (DUF2895)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2895
group_6119	1197719.A464_4517	3.85e-74	222.0	2C0GK@1|root,333BP@2|Bacteria,1NFTV@1224|Proteobacteria,1SFIJ@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Protein of unknown function (DUF3487)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3487
group_6138	35703.DQ02_13245	2.66e-188	529.0	2E2BM@1|root,32XGT@2|Bacteria,1N5GK@1224|Proteobacteria,1SMGP@1236|Gammaproteobacteria	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
group_6145	1484157.PSNIH2_22785	0.0	1424.0	28KC1@1|root,2Z9Z1@2|Bacteria,1MW96@1224|Proteobacteria,1RYPT@1236|Gammaproteobacteria,3W1XY@53335|Pantoea	1236|Gammaproteobacteria	S	Type-1V conjugative transfer system mating pair stabilisation	traN	-	-	ko:K12058	-	-	-	-	ko00000,ko02044	3.A.7.11.1	-	-	TraN
group_6146	1484157.PSNIH2_22790	6.45e-214	595.0	28HGF@1|root,2Z7SA@2|Bacteria,1MXUA@1224|Proteobacteria,1RS8F@1236|Gammaproteobacteria,3W0Z3@53335|Pantoea	1236|Gammaproteobacteria	S	TraU protein	-	-	-	ko:K12060	-	-	-	-	ko00000,ko02044	3.A.7.11.1	-	-	TraU
group_6151	573.JG24_07725	0.0	1068.0	COG4373@1|root,COG4373@2|Bacteria,1MXYV@1224|Proteobacteria,1RMCC@1236|Gammaproteobacteria	1236|Gammaproteobacteria	L	Terminase, ATPase subunit	P	-	-	-	-	-	-	-	-	-	-	-	Terminase_5,Terminase_6,Terminase_6C
group_6152	1484157.PSNIH2_22055	5.98e-65	207.0	2AUZY@1|root,31KPS@2|Bacteria,1QIJG@1224|Proteobacteria,1TGEC@1236|Gammaproteobacteria,3W244@53335|Pantoea	1236|Gammaproteobacteria	S	Domain of unknown function (DUF4400)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4400
yceD_6	1484157.PSNIH2_21945	2.03e-136	387.0	COG2310@1|root,COG2310@2|Bacteria,1MX8E@1224|Proteobacteria,1RY9S@1236|Gammaproteobacteria,3W22Q@53335|Pantoea	1236|Gammaproteobacteria	T	TerD domain	terX	-	-	-	-	-	-	-	-	-	-	-	TerD
gpFI_2~~~gpFI	573.JG24_07830	1.23e-275	754.0	COG3497@1|root,COG3497@2|Bacteria,1MW1V@1224|Proteobacteria,1RNUT@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Tail sheath protein	fI	-	-	ko:K06907	-	-	-	-	ko00000	-	-	-	Phage_sheath_1,Phage_sheath_1C
group_6159	1005994.GTGU_04139	7.14e-105	304.0	COG3498@1|root,COG3498@2|Bacteria,1Q8HB@1224|Proteobacteria,1S1YZ@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Phage major tail tube protein	-	-	-	ko:K06908	-	-	-	-	ko00000	-	-	-	Phage_tube
group_6160	640513.Entas_4661	3.99e-34	120.0	2DPGX@1|root,3320Q@2|Bacteria,1N7JH@1224|Proteobacteria,1SDWV@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	tail protein	-	-	-	-	-	-	-	-	-	-	-	-	Phage_TAC_7
group_6167	573.JG24_11060	0.0	1268.0	COG4733@1|root,COG4733@2|Bacteria,1Q1BS@1224|Proteobacteria,1RNQV@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	cellulase activity	-	-	-	-	-	-	-	-	-	-	-	-	Phage-tail_3
group_6171	573.JG24_02920	9.05e-55	171.0	COG2026@1|root,COG2026@2|Bacteria,1N76D@1224|Proteobacteria,1SCNM@1236|Gammaproteobacteria	1236|Gammaproteobacteria	DJ	TIGRFAM Addiction module toxin, RelE StbE	-	-	-	ko:K06218	-	-	-	-	ko00000,ko02048	-	-	-	ParE_toxin
group_6175	35703.DQ02_13730	0.0	1199.0	COG0270@1|root,COG0270@2|Bacteria,1MV9D@1224|Proteobacteria,1RPD1@1236|Gammaproteobacteria,3WXFA@544|Citrobacter	1236|Gammaproteobacteria	L	C-5 cytosine-specific DNA methylase	dcm	-	2.1.1.37	ko:K00558	ko00270,ko01100,ko05206,map00270,map01100,map05206	M00035	R04858	RC00003,RC00332	ko00000,ko00001,ko00002,ko01000,ko02048,ko03032,ko03036	-	-	-	DNA_methylase
ypjF~~~ykfI	665029.EAMY_0400	1.47e-66	202.0	2C4I5@1|root,32R8S@2|Bacteria,1PCV1@1224|Proteobacteria,1SXZY@1236|Gammaproteobacteria,3X7SH@551|Erwinia	1236|Gammaproteobacteria	S	CbtA_toxin of type IV toxin-antitoxin system	-	-	-	ko:K18837	-	-	-	-	ko00000,ko02048	-	-	-	CbtA_toxin
group_6200	1028307.EAE_21045	4.21e-238	659.0	COG5492@1|root,COG5492@2|Bacteria,1MVYC@1224|Proteobacteria,1T12D@1236|Gammaproteobacteria	1236|Gammaproteobacteria	N	domain, Protein	-	-	-	-	-	-	-	-	-	-	-	-	Big_2
group_6202	1028307.EAE_21090	0.0	867.0	28IAN@1|root,2Z8D8@2|Bacteria,1NJD6@1224|Proteobacteria,1RY86@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Domain of unknown function (DUF4055)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4055
group_6207	1282995.R9VWB9_9CAUD	1.31e-64	209.0	4QEW7@10239|Viruses,4QYXF@35237|dsDNA viruses  no RNA stage,4QTWH@28883|Caudovirales,4QKKW@10699|Siphoviridae	10699|Siphoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
group_6208	158822.LH89_17575	5.01e-30	107.0	COG3311@1|root,COG3311@2|Bacteria,1NGB9@1224|Proteobacteria,1SCF2@1236|Gammaproteobacteria	1236|Gammaproteobacteria	K	Evidence 3 Function proposed based on presence of conserved amino acid motif, structural feature or limited homology	alpA	-	-	ko:K07733	-	-	-	-	ko00000,ko03000	-	-	-	Phage_AlpA
group_6209	1197719.A464_4523	2.86e-114	331.0	28HMN@1|root,30TCA@2|Bacteria,1PD4Y@1224|Proteobacteria,1TA9Z@1236|Gammaproteobacteria,3ZNEU@590|Salmonella	1236|Gammaproteobacteria	S	Domain of unknown function (DUF4400)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4400
group_6216	1006000.GKAS_03994	2.25e-10	65.1	COG1651@1|root,COG1651@2|Bacteria,1MY3H@1224|Proteobacteria,1RS9Y@1236|Gammaproteobacteria	1236|Gammaproteobacteria	O	Dsba oxidoreductase	-	-	-	-	-	-	-	-	-	-	-	-	DSBA,FKBP_N,Thioredoxin_4
traC_2~~~traC_3~~~traC_1~~~traC	1484157.PSNIH2_22855	0.0	966.0	COG3451@1|root,COG3451@2|Bacteria,1MUEN@1224|Proteobacteria,1RMMX@1236|Gammaproteobacteria,3W0ZD@53335|Pantoea	1236|Gammaproteobacteria	U	F pilus assembly Type-IV secretion system for plasmid transfer	-	-	-	ko:K12063	-	-	-	-	ko00000,ko02044	3.A.7.11.1	-	-	AAA_10,TraC_F_IV
group_10555	500640.CIT292_09195	3.55e-139	394.0	2DB81@1|root,2Z7PS@2|Bacteria,1MY5A@1224|Proteobacteria,1RP4B@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Integrating conjugative element protein	-	-	-	-	-	-	-	-	-	-	-	-	DUF2895
group_6220	500640.CIT292_09194	1.52e-169	475.0	2DB87@1|root,2Z7QE@2|Bacteria,1MWQ5@1224|Proteobacteria,1RPED@1236|Gammaproteobacteria,3WZ7C@544|Citrobacter	1236|Gammaproteobacteria	S	Protein of unknown function (DUF3438)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3438
group_6225	1151116.Q7S_09560	7.28e-35	120.0	2ANSH@1|root,31DSH@2|Bacteria,1QB3P@1224|Proteobacteria,1T6MH@1236|Gammaproteobacteria,3FIIW@34037|Rahnella	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
group_6236	1114922.CIFAM_22_00250	5.99e-50	159.0	2CFYS@1|root,332IJ@2|Bacteria,1NB5J@1224|Proteobacteria,1SDHW@1236|Gammaproteobacteria,3WZK4@544|Citrobacter	1236|Gammaproteobacteria	L	DNA polymerase III, theta subunit	-	-	2.7.7.7	ko:K02345	ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440	M00260	R00375,R00376,R00377,R00378	RC02795	ko00000,ko00001,ko00002,ko01000,ko03032,ko03400	-	-	-	DNA_pol3_theta
group_13931	1286170.RORB6_16075	0.0	1245.0	COG1401@1|root,COG4127@1|root,COG1401@2|Bacteria,COG4127@2|Bacteria,1MYQM@1224|Proteobacteria,1RSU7@1236|Gammaproteobacteria	1236|Gammaproteobacteria	V	GTPase subunit of restriction endonuclease	mcrB	-	-	ko:K07452	-	-	-	-	ko00000,ko01000,ko02048	-	-	-	AAA_5
group_6252	579405.Dd703_2947	3.24e-74	225.0	2CDNR@1|root,33XIX@2|Bacteria,1NVIU@1224|Proteobacteria,1SP1S@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	protein Z3940 or Ecs3508 SWALL Q8X976 (EMBL AE005493) (156 aa) fasta scores E()	-	-	-	-	-	-	-	-	-	-	-	-	-
dam_2~~~dam_1~~~dam_3	745277.GRAQ_02365	2.09e-114	340.0	COG0338@1|root,COG0338@2|Bacteria,1P85S@1224|Proteobacteria,1RMNW@1236|Gammaproteobacteria,3FGDK@34037|Rahnella	1236|Gammaproteobacteria	H	site-specific DNA-methyltransferase (adenine-specific)	dam	-	2.1.1.72	ko:K06223	ko03430,map03430	-	-	-	ko00000,ko00001,ko01000,ko02048,ko03032,ko03400	-	-	-	MethyltransfD12
group_6269	573.JG24_07730	4.79e-169	475.0	2CAV1@1|root,2ZBY8@2|Bacteria,1RAGI@1224|Proteobacteria,1RZFG@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	capsid scaffolding	-	-	-	-	-	-	-	-	-	-	-	-	Phage_GPO
group_6272	932213.SPM24T3_24002	1.79e-212	630.0	COG1196@1|root,COG2911@1|root,COG1196@2|Bacteria,COG2911@2|Bacteria,1N9K5@1224|Proteobacteria,1SE7W@1236|Gammaproteobacteria	1236|Gammaproteobacteria	D	lytic transglycosylase activity	-	-	-	-	-	-	-	-	-	-	-	-	-
group_6282	1197719.A464_4518	4.57e-65	198.0	2DI3D@1|root,301WV@2|Bacteria,1PU3W@1224|Proteobacteria,1TAN7@1236|Gammaproteobacteria,3ZNFI@590|Salmonella	1236|Gammaproteobacteria	S	Protein of unknown function (DUF2976)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2976
group_6278	637910.ROD_33541	1.05e-21	87.0	2AYQ7@1|root,31QUX@2|Bacteria,1QNE9@1224|Proteobacteria,1TKZM@1236|Gammaproteobacteria,3WZIW@544|Citrobacter	1236|Gammaproteobacteria	S	Protein of unknown function (DUF3262)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3262
group_6276	573.JG24_00220	7.19e-82	244.0	2CATW@1|root,2ZIJ2@2|Bacteria,1PAA8@1224|Proteobacteria,1STQQ@1236|Gammaproteobacteria	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
